X,Y,OGF_ID,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-79.7662875,43.4182875,143649415,Within 10 metres,2021/07/29 10:38:39+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1
-78.5225841,45.5770692,143649414,Within 10 metres,2021/07/29 10:38:39+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,17
-78.2912032999999,45.5188446,143649413,Within 10 metres,2021/07/29 10:38:39+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,33
-78.4130779,45.5252284,143649412,Within 10 metres,2021/07/29 10:38:39+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,49
-78.953,45.6035,143649410,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,65
-77.8627163,45.5940179,143649407,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,81
-78.9868529,45.6681285,143649405,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,97
-78.689065,46.106,143649403,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,113
-78.632,45.564304,143649400,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,129
-78.233,45.188173,143649398,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,145
-79.06,45.740064,143649396,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,161
-78.2686504,45.5395142,143649394,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,177
-78.099,45.649107,143649392,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,193
-78.29985,45.577,143649391,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,209
-78.3600399,45.6357448,143649389,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,225
-78.419579,45.5563108,143649387,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,241
-78.6952209,45.5427005,143649385,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,257
-78.3400657,45.591792,143649383,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,273
-78.6493058,45.5479303,143649382,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,289
-78.4068974,45.5793336,143649381,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,305
-78.1891416,45.2406822,143649380,Within 10 metres,2021/07/29 10:38:38+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,321
