OGF_ID,TRAIL_NAME,TRAIL_ASSOCIATION,TRAIL_ASSOCIATION_WEBSITE,PERMITTED_USES,DESCRIPTION,ON_ROAD_FLG,TRAIL_LENGTH_KM,LOCATION_ACCURACY,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPELEN
154757679,Guindon Park Multi-Purpose Trails - White,City of Cornwall,www.cornwall.ca,"Hiking or Walking, Cross Country Skiing","Guindon Park is Cornwall's hidden gem - a sprawling 500-acre smoke-free park with access to Cornwall's off-road bike trails and the St. Lawrence River, and dozens of kilometres of walking trails, this natural green space is not to be missed! Access the park via Highway 2. Washrooms are open during the day.",No,1.39999997615814,Within 10 metres,2022/05/18 11:22:06+00,2022/05/18 22:39:25+00,78641,0
154757600,Guindon Park BMX Track,City of Cornwall,www.cornwall.ca,Cycling,"Guindon Park is Cornwall's hidden gem - a sprawling 500-acre smoke-free park with access to Cornwall's off-road bike trails and the St. Lawrence River, and dozens of kilometres of walking trails, this natural green space is not to be missed! Access the park via Highway 2. Washrooms are open during the day.",No,0.5,Within 10 metres,2022/05/18 11:22:05+00,2022/05/18 22:39:25+00,78657,0
143660507,Kinsmen Participark Trail,Town of Tillsonburg,www.discovertillsonburg.ca,"Hiking or Walking, Cycling",This 1.2 km linear limestone trail passes from north to south along Stoney Creek. In the spring you can see fish spawning and experience flora and fauna in this natural setting. This a great trail to walk on windy days as the area is very sheltered due to topography. There is access to downtown shopping via an exit to Washington Grand Avenue.,Yes,1.20000004768372,Within 10 metres,2022/05/18 11:20:46+00,2022/05/18 22:39:25+00,79457,0
155164139,White-tailed Deer Trail,Central Lake Ontario Conservation Authority,www.cloca.com,"Hiking or Walking, Cycling, Cross Country Skiing","Nestled in the heart of the provincially significant Oak Ridges Moraine, Long Sault Conservation Area is the largest Area owned and managed by the Central Lake Ontario Conservation Authority. Once part of the Agreement Forest program operated by the Ontario Ministry of Natural Resources, Long Sault Conservation Area now includes close to 400 hectares of mature forest, plantation, wetland and meadow. The area is considered an important core wildlife area because of the diversity and size of habitats that it contains. This Conservation Area also includes headwater tributaries that are an important part of the Bowmanville/Soper Creek Watershed. Much of Long Sault Conservation Area's natural beauty can be seen from any section of the more than 18 km of marked trails that wind throughout the property. With trails that range in difficulty from gently sloping straight trails, to technical rolling and quickly turning trails, Long Sault Conservation Area is a favourite destination for many outdoor enthusiasts looking to pursue a number of different recreational activities.",No,3.90000009536743,Within 10 metres,2022/05/18 11:22:18+00,2022/05/18 22:39:25+00,79489,0
154614413,Gill's Gultch Trail,Wasaga Beach Provincial Park,www.ontarioparks.com/park/wasagabeach,"Hiking or Walking, Cross Country Skiing",Moderate - Experienced Skiers,No,1,Within 10 metres,2022/05/18 11:15:28+00,2022/05/18 22:39:25+00,79745,0
143661443,"Etobicoke Creek Trail, Missauga Section",Region of Peel,www.walkandrollpeel.ca,"Hiking or Walking, Cycling","The Etobicoke Creek Trail is designated as a regional multi-use recreational trail. When completed, it will travel from the Waterfront Trail along Lake Ontario, through the cities of Mississauga, Toronto and Brampton up into the Town of Caledon, a total length of 50 kilometres.  Currently, the Etobicoke Creek Trail, in Mississauga, is in two sections:  Willowcreek Park, north of Dundas Street East, to Rathburn Road East with a link to Centennial Park in Toronto; and Matheson Blvd. East, through the western boundary of the Greater Toronto Airports Authority lands, to Mount Charles Park.",Yes,11.1999998092651,Within 10 metres,2022/05/18 11:21:24+00,2022/05/18 22:39:25+00,79937,0
143661400,Big Creek Circle Cycling Tour,Silver Spokes Cycling Club,www.silverscc.net,Cycling,"This 100km route showcases all that Norfolk County has to offer. This trip can start and end in one of two towns; either Delhi or Port Rowan. If you start in Delhi, there are many places to park along Main Street and James Street. If you start in Port Rowan, Bay Street is probably the best for parking. These directions start and end in Delhi, with Port Rowan at the halfway point.",Yes,104.300003051758,Within 10 metres,2022/05/18 11:20:06+00,2022/05/18 22:39:25+00,79969,0
163018308,Sprint Trails,Porcupine Ski Runners,www.porcupineskirunners.com,"Hiking or Walking, Cross Country Skiing",,No,1.20000004768372,Within 10 metres,2022/05/18 11:16:02+00,2022/05/18 22:39:25+00,80161,0
173847493,Lions Park,Town of Aylmer,www.aylmer.ca,Hiking or Walking,,No,0.300000011920929,Within 10 metres,2022/05/18 11:22:34+00,2022/05/18 22:39:25+00,80209,0
155164206,Camp Trail,Kawartha Conservation,www.kawarthaconservation.com,"Hiking or Walking, Cycling, Cross Country Skiing, Snowshoeing",,No,0.300000011920929,Within 10 metres,2022/05/18 11:22:19+00,2022/05/18 22:39:25+00,80673,0
163018309,Yellow 10 km,Porcupine Ski Runners,www.porcupineskirunners.com,"Hiking or Walking, Cross Country Skiing",,No,10,Within 10 metres,2022/05/18 11:16:03+00,2022/05/18 22:39:25+00,80689,0
143664936,City of Brampton Bicycle Lanes,Region of Peel,www.walkandrollpeel.ca,Cycling,,Yes,3.40000009536743,Within 10 metres,2022/05/18 11:19:53+00,2022/05/18 22:39:25+00,80913,0
143661119,Spruce Lake Trail,Eastern Ontario Trails Alliance,www.thetrail.ca,"Hiking or Walking, Cycling, Snowshoeing, Equestrian, Snowmobiling, All-Terrain Vehicles (ATV)",,Yes,8.89999961853027,Within 10 metres,2022/05/18 11:18:51+00,2022/05/18 22:39:25+00,80945,0
155164138,Cottontail Rabbit Trail,Central Lake Ontario Conservation Authority,www.cloca.com,"Hiking or Walking, Cycling, Cross Country Skiing","Nestled in the heart of the provincially significant Oak Ridges Moraine, Long Sault Conservation Area is the largest Area owned and managed by the Central Lake Ontario Conservation Authority. Once part of the Agreement Forest program operated by the Ontario Ministry of Natural Resources, Long Sault Conservation Area now includes close to 400 hectares of mature forest, plantation, wetland and meadow. The area is considered an important core wildlife area because of the diversity and size of habitats that it contains. This Conservation Area also includes headwater tributaries that are an important part of the Bowmanville/Soper Creek Watershed. Much of Long Sault Conservation Area's natural beauty can be seen from any section of the more than 18 km of marked trails that wind throughout the property. With trails that range in difficulty from gently sloping straight trails, to technical rolling and quickly turning trails, Long Sault Conservation Area is a favourite destination for many outdoor enthusiasts looking to pursue a number of different recreational activities.",No,2.09999990463257,Within 10 metres,2022/05/18 11:22:26+00,2022/05/18 22:39:25+00,81201,0
155736534,Riverview Loop,Driftwood Provincial Park,www.ontarioparks.com/park/driftwood,"Hiking or Walking, Snowshoeing",This trail climbs steeply to a lookout with a panoramic view of the Ottawa River.,No,1,Within 10 metres,2022/05/18 11:22:25+00,2022/05/18 22:39:25+00,81649,0
